model,rcp,mgm,windcase,dist,refdif,diff,percdiff
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w5,0.334121529436183,0.341597560008763,-0.00747603057258028,-2.18854917242046
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w6,0.33776605763135,0.346114890733238,-0.00834883310188794,-2.41215657731486
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w7,0.338606921925613,0.345481173237712,-0.00687425131209873,-1.98976148184168
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w8,0.334403121371996,0.338632422550302,-0.00422930117830683,-1.24893568857205
EC-EARTH_RACMO22E-r1,rcp45,ADAPTATION,w9,0.341715972871509,0.349167821807874,-0.00745184893636497,-2.13417401918132
EC-EARTH_RACMO22E-r1,rcp45,BAU,w5,0.33047942969623,0.33147398649621,-0.000994556799979895,-0.300040679056806
EC-EARTH_RACMO22E-r1,rcp45,BAU,w6,0.343094106368576,0.343124201434782,-3.00950662059374e-05,-0.00877089580976631
EC-EARTH_RACMO22E-r1,rcp45,BAU,w7,0.343920936194082,0.339170509548712,0.00475042664537062,1.4006013234144
EC-EARTH_RACMO22E-r1,rcp45,BAU,w8,0.341617235019228,0.328691295490995,0.0129259395282334,3.93254695379894
EC-EARTH_RACMO22E-r1,rcp45,BAU,w9,0.351709117693703,0.346013322393335,0.00569579530036823,1.64612023056542
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w5,0.331855844208929,0.33361966363853,-0.00176381942960113,-0.528691687523609
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w6,0.339132034264723,0.342609907940998,-0.00347787367627472,-1.01511182124764
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w7,0.334777847837585,0.338834878404083,-0.00405703056649837,-1.1973473880868
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w8,0.329895740639144,0.332914280646517,-0.00301854000737289,-0.906701869775882
EC-EARTH_RACMO22E-r1,rcp45,BIOECONOMY,w9,0.342113735319753,0.344947344276024,-0.00283360895627111,-0.821461305121304
