"","rcp","mgm","name","meanpercdiff","minpercdiff","maxpercdiff","q1","q2"
"1","rcp45","ADAPTATION","Biodiversity",3.23023985764254,0.447283473005336,6.2719635217039,1.6545547968792,4.69171597094448
"2","rcp45","ADAPTATION","Climate",1.23816811108325,-13.042396272645,13.8336288653487,-4.70766202814806,6.95702413614761
"3","rcp45","ADAPTATION","Production",-4.85029226647527,-12.4478318722218,3.53849846156479,-9.31993216760023,-0.151649956359323
"4","rcp45","ADAPTATION","Water",-7.71749318069972,-15.5886283277008,-1.62320693267996,-11.5944921303324,-2.89169946155884
"5","rcp45","BAU","Biodiversity",7.94609489770097,4.54098188771195,12.874728909832,5.66611273862768,9.73186264335136
"6","rcp45","BAU","Climate",-7.89619908482904,-26.9545542301819,2.99524094762234,-12.9102205126341,0.058193368908554
"7","rcp45","BAU","Production",-2.86208120460239,-10.6557984890658,3.95831959031252,-7.18934048879516,2.05678497452354
"8","rcp45","BAU","Water",-8.65122059721018,-17.3109466439312,-2.75364685644357,-11.765011953606,-4.12086470870252
"9","rcp45","BIOECONOMY","Biodiversity",8.43154320100805,5.10283909610453,13.0166332242229,6.12054558230932,10.4490736686514
"10","rcp45","BIOECONOMY","Climate",-3.32096733897823,-17.0241797807711,6.04385965521318,-7.39373397336189,3.21242982880224
"11","rcp45","BIOECONOMY","Production",-4.95602254851422,-13.0934769184926,3.19717788336708,-8.93628111766725,-0.625258112366841
"12","rcp45","BIOECONOMY","Water",-8.87858828312255,-16.6674777865681,-2.69960656971316,-12.9461730496631,-4.06620408499216
"13","rcp45","CONSERVATION","Biodiversity",6.17365355946593,1.52648766231881,12.7779142643618,3.88354103538938,7.82451252144079
"14","rcp45","CONSERVATION","Climate",-5.77981635290415,-27.2112642687,6.66372349668108,-13.2381545042734,2.10404468045395
"15","rcp45","CONSERVATION","Production",-2.56128716936746,-10.2055204854775,6.58035252785354,-8.03007148218942,2.52457879378402
"16","rcp45","CONSERVATION","Water",-10.6915760573791,-21.0766919759244,-3.55842028564429,-14.87159264196,-5.44491463308201
"17","rcp45","UNMANAGED","Biodiversity",7.50407591324794,0.276429943716421,14.3053683195186,4.25959786732127,9.6754381863813
"18","rcp45","UNMANAGED","Climate",-12.0329480360836,-32.7757605080025,0.244422660376841,-17.589032527499,-4.08621158789268
"19","rcp45","UNMANAGED","Production",5.3158885551463,-4.09940325340942,19.108713705444,-0.801150701397626,8.16299299182195
"20","rcp45","UNMANAGED","Water",-14.4117701972806,-24.6186364750703,-5.47174328986812,-19.5711104415699,-8.30098736090446
"21","rcp85","ADAPTATION","Biodiversity",3.84802898587669,-0.970363211129279,12.1465668664666,-0.652696264573013,6.94478493725344
"22","rcp85","ADAPTATION","Climate",-3.6770941595082,-22.4766731714442,9.62810224670659,-10.0919424024703,3.52533507327025
"23","rcp85","ADAPTATION","Production",-1.97681457383379,-11.6567243156324,13.126794231815,-7.91443267576004,1.20628371360439
"24","rcp85","ADAPTATION","Water",-6.36470555544973,-21.4306742523829,8.01785241461456,-11.0924363789028,-1.64462670358865
"25","rcp85","BAU","Biodiversity",9.75261855875682,0.90626910566993,23.5520958418531,3.12389893377012,14.4439743420988
"26","rcp85","BAU","Climate",-16.3255536419655,-33.6221403353716,1.27537748594329,-22.6824474424741,-11.2904278250311
"27","rcp85","BAU","Production",0.6214953305005,-9.96930267948642,16.7028175765608,-6.530876392704,4.26035876161069
"28","rcp85","BAU","Water",-8.35621981389466,-24.8320819834546,6.25666663484753,-13.886651738705,-2.82467863122013
"29","rcp85","BIOECONOMY","Biodiversity",10.0594290544605,1.51723301773563,24.2137029867407,3.50870588168655,13.974162987631
"30","rcp85","BIOECONOMY","Climate",-9.60458027314687,-25.1298945339502,4.45154922292968,-14.695692051279,-2.50675052857798
"31","rcp85","BIOECONOMY","Production",-1.97356087310014,-11.8282249386816,13.367651792687,-7.27684420744162,0.712648100128955
"32","rcp85","BIOECONOMY","Water",-8.15113393429199,-26.0347405872603,7.32953060047881,-12.6704152349924,-2.68891375354556
"33","rcp85","CONSERVATION","Biodiversity",7.81106808873235,-0.810033993780335,21.3933621972564,1.24865085726784,12.7712814404365
"34","rcp85","CONSERVATION","Climate",-12.2553520193844,-30.4518387104718,8.01602372096976,-20.1971721735571,-5.47331506125893
"35","rcp85","CONSERVATION","Production",0.769725831804915,-8.7655164892014,15.5126910246838,-6.83376527473891,4.95847011408615
"36","rcp85","CONSERVATION","Water",-10.3003750243253,-28.9123253746625,6.45625200696256,-16.4723235918092,-3.14956212296974
"37","rcp85","UNMANAGED","Biodiversity",10.2715042281356,-1.8566210785845,30.8086979850798,1.43341328639473,15.7956910632981
"38","rcp85","UNMANAGED","Climate",-18.5542533375649,-42.4422049657756,5.70784719726825,-31.0586563271925,-7.95116626282587
"39","rcp85","UNMANAGED","Production",10.5530760523322,-6.72853691246807,22.9665010981458,2.96918318958826,19.9372409796369
"40","rcp85","UNMANAGED","Water",-14.4726257816137,-36.752788959026,3.74944765534648,-20.616222612115,-6.13486314598767
