year modules.wind.dayOfYear modules.wind.speed modules.wind.direction modules.wind.duration model.climate.co2concentration
110 0 0 0 0 543.36
111 0 0 0 0 543.33
112 0 0 0 0 543.28
113 0 0 0 0 543.24
114 0 0 0 0 543.21
115 0 0 0 0 543.20
116 0 0 0 0 543.20
117 0 0 0 0 543.22
118 0 0 0 0 543.24
119 0 0 0 0 543.25
120 0 0 0 0 543.24
121 0 0 0 0 543.23
122 0 0 0 0 543.19
123 0 0 0 0 543.13
124 54 15 308 102 543.07
125 0 0 0 0 543.02
126 0 0 0 0 542.99
127 0 0 0 0 542.98
128 0 0 0 0 542.97
129 0 0 0 0 542.96
130 0 0 0 0 542.96
131 0 0 0 0 542.96
132 0 0 0 0 542.96
133 0 0 0 0 542.96
134 0 0 0 0 542.96
135 0 0 0 0 542.96
136 0 0 0 0 542.96
137 0 0 0 0 542.96
138 0 0 0 0 542.96
139 0 0 0 0 542.96
140 0 0 0 0 542.96
141 0 0 0 0 542.96
142 0 0 0 0 542.96
143 0 0 0 0 542.96
144 335 13 203 83 542.96
145 0 0 0 0 542.96
146 0 0 0 0 542.96
147 0 0 0 0 542.96
148 0 0 0 0 542.96
149 0 0 0 0 542.96
150 0 0 0 0 542.96
151 0 0 0 0 542.96
152 0 0 0 0 542.96
153 0 0 0 0 542.96
154 0 0 0 0 542.96
155 0 0 0 0 542.96
156 0 0 0 0 542.96
157 0 0 0 0 542.96
158 0 0 0 0 542.96
159 0 0 0 0 542.96
160 0 0 0 0 542.96
161 0 0 0 0 542.96
162 0 0 0 0 542.96
163 0 0 0 0 542.96
164 235 14 303 95 542.96
165 0 0 0 0 542.96
166 0 0 0 0 542.96
167 0 0 0 0 542.96
168 0 0 0 0 542.96
169 0 0 0 0 542.96
170 0 0 0 0 542.96
171 0 0 0 0 542.96
172 0 0 0 0 542.96
173 0 0 0 0 542.96
174 0 0 0 0 542.96
175 0 0 0 0 542.96
176 0 0 0 0 542.96
177 0 0 0 0 542.96
178 0 0 0 0 542.96
179 0 0 0 0 542.96
180 49 16 254 115 542.96
181 0 0 0 0 542.96
182 0 0 0 0 542.96
183 0 0 0 0 542.96
184 0 0 0 0 542.96
185 0 0 0 0 542.96
186 0 0 0 0 542.96
187 0 0 0 0 542.96
188 0 0 0 0 542.96
189 0 0 0 0 542.96
190 0 0 0 0 542.96
191 0 0 0 0 542.96
192 0 0 0 0 542.96
193 0 0 0 0 542.96
194 0 0 0 0 542.96
195 0 0 0 0 542.96
196 0 0 0 0 542.96
197 0 0 0 0 542.96
198 0 0 0 0 542.96
199 0 0 0 0 542.96
200 0 0 0 0 542.96
201 0 0 0 0 542.96
202 0 0 0 0 542.96
203 0 0 0 0 542.96
204 0 0 0 0 542.96
205 0 0 0 0 542.96
206 0 0 0 0 542.96
207 0 0 0 0 542.96
208 0 0 0 0 542.96
209 0 0 0 0 542.96
210 0 0 0 0 542.96
211 0 0 0 0 542.96
212 0 0 0 0 542.96
213 0 0 0 0 542.96
214 0 0 0 0 542.96
215 0 0 0 0 542.96
216 0 0 0 0 542.96
217 0 0 0 0 542.96
218 0 0 0 0 542.96
219 0 0 0 0 542.96
220 0 0 0 0 542.96
221 0 0 0 0 542.96
222 0 0 0 0 542.96
223 0 0 0 0 542.96
224 0 0 0 0 542.96
225 235 13 298 91 542.96
226 0 0 0 0 542.96
227 0 0 0 0 542.96
228 0 0 0 0 542.96
229 0 0 0 0 542.96
230 0 0 0 0 542.96
231 0 0 0 0 542.96
232 0 0 0 0 542.96
233 0 0 0 0 542.96
234 0 0 0 0 542.96
235 0 0 0 0 542.96
236 0 0 0 0 542.96
237 0 0 0 0 542.96
238 0 0 0 0 542.96
239 0 0 0 0 542.96
240 0 0 0 0 542.96
241 0 0 0 0 542.96
242 0 0 0 0 542.96
243 0 0 0 0 542.96
244 0 0 0 0 542.96
245 0 0 0 0 542.96
246 0 0 0 0 542.96
247 0 0 0 0 542.96
248 0 0 0 0 542.96
249 0 0 0 0 542.96
250 0 0 0 0 542.96
251 0 0 0 0 542.96
252 0 0 0 0 542.96
253 0 0 0 0 542.96
254 0 0 0 0 542.96
255 0 0 0 0 542.96
256 0 0 0 0 542.96
257 0 0 0 0 542.96
258 0 0 0 0 542.96
259 0 0 0 0 542.96
260 22 13 266 116 542.96
261 0 0 0 0 542.96
262 0 0 0 0 542.96
263 0 0 0 0 542.96
264 0 0 0 0 542.96
265 0 0 0 0 542.96
266 0 0 0 0 542.96
267 0 0 0 0 542.96
268 0 0 0 0 542.96
269 0 0 0 0 542.96
270 0 0 0 0 542.96
271 0 0 0 0 542.96
272 0 0 0 0 542.96
273 0 0 0 0 542.96
274 0 0 0 0 542.96
275 0 0 0 0 542.96
276 0 0 0 0 542.96
277 0 0 0 0 542.96
278 0 0 0 0 542.96
279 0 0 0 0 542.96
280 0 0 0 0 542.96
281 0 0 0 0 542.96
282 0 0 0 0 542.96
283 0 0 0 0 542.96
284 0 0 0 0 542.96
285 0 0 0 0 542.96
286 0 0 0 0 542.96
287 0 0 0 0 542.96
288 0 0 0 0 542.96
289 0 0 0 0 542.96
290 0 0 0 0 542.96
291 0 0 0 0 542.96
292 0 0 0 0 542.96
293 0 0 0 0 542.96
294 0 0 0 0 542.96
295 0 0 0 0 542.96
296 0 0 0 0 542.96
297 0 0 0 0 542.96
298 0 0 0 0 542.96
299 0 0 0 0 542.96
300 0 0 0 0 542.96
