year modules.wind.dayOfYear modules.wind.speed modules.wind.direction modules.wind.duration model.climate.co2concentration
1 1 0 0 0 413.38
2 1 0 0 0 415.64
3 1 0 0 0 417.94
4 355 5.9 208 87 420.27
5 1 0 0 0 422.66
6 120 6.7 346 62 425.08
7 1 0 0 0 427.54
8 1 0 0 0 430.02
9 276 6.1 204 40 432.52
10 319 6.8 221 58 435.05
11 1 0 0 0 437.59
12 1 0 0 0 440.13
13 171 6 354 39 442.66
14 1 0 0 0 445.21
15 1 0 0 0 447.77
16 294 14 337 89 450.36
17 180 7.5 297 50 452.96
18 1 0 0 0 455.59
19 177 5.2 300 49 458.22
20 1 0 0 0 460.84
21 1 0 0 0 463.48
22 1 0 0 0 466.09
23 1 0 0 0 468.68
24 1 0 0 0 471.23
25 156 5.2 199 44 473.78
26 1 0 0 0 476.33
27 1 0 0 0 478.88
28 1 0 0 0 481.44
29 314 11 45 72 483.99
30 153 7.4 147 33 486.54
31 1 0 0 0 489.06
32 1 0 0 0 491.54
33 1 0 0 0 493.93
34 281 7.1 227 88 496.24
35 227 6.1 7 81 498.47
36 1 0 0 0 500.65
37 1 0 0 0 502.77
38 1 0 0 0 504.85
39 1 0 0 0 506.88
40 128 5.1 199 64 508.87
41 94 5.7 174 37 510.80
42 1 0 0 0 512.65
43 1 0 0 0 514.40
44 1 0 0 0 516.06
45 1 0 0 0 517.63
46 286 6.4 254 55 519.10
47 1 0 0 0 520.49
48 1 0 0 0 521.82
49 1 0 0 0 523.09
50 301 19 10 138 524.30
51 1 0 0 0 525.45
52 1 0 0 0 526.51
53 1 0 0 0 527.46
54 189 6.8 167 32 528.30
55 1 0 0 0 529.03
56 1 0 0 0 529.64
57 1 0 0 0 530.14
58 295 6.1 307 87 530.55
59 165 5.7 197 58 530.88
60 1 0 0 0 531.14
61 1 0 0 0 531.32
62 87 5.5 309 89 531.49
63 1 0 0 0 531.70
64 1 0 0 0 531.94
65 178 6.6 156 68 532.20
66 139 5.7 126 50 532.49
67 1 0 0 0 532.78
68 1 0 0 0 533.07
69 61 5.3 167 53 533.39
70 1 0 0 0 533.74
71 1 0 0 0 534.13
72 180 7.5 297 50 534.56
73 1 0 0 0 535.01
74 11 6.1 215 89 535.48
75 1 0 0 0 535.95
76 102 6.7 251 68 536.44
77 1 0 0 0 536.92
78 107 6.6 318 38 537.40
79 1 0 0 0 537.87
80 1 0 0 0 538.36
81 1 0 0 0 538.87
82 14 12 55 62 539.39
83 68 5.4 180 88 539.88
84 1 0 0 0 540.35
85 1 0 0 0 540.78
86 80 6.8 291 59 541.17
87 1 0 0 0 541.51
88 1 0 0 0 541.81
89 26 6 56 68 542.05
90 245 5.1 221 74 542.25
91 1 0 0 0 542.41
92 1 0 0 0 542.56
93 94 11 337 99 542.71
94 1 0 0 0 542.87
95 121 5.8 75 69 543.01
96 1 0 0 0 543.14
97 21 6.9 275 79 543.24
98 1 0 0 0 543.31
99 1 0 0 0 543.35
100 61 7.6 75 99 543.36
101 1 0 0 0 543.33
102 0 0 0 0 543.29
103 0 0 0 0 543.27
104 0 0 0 0 543.26
105 0 0 0 0 543.28
106 0 0 0 0 543.31
107 0 0 0 0 543.34
108 0 0 0 0 543.35
109 0 0 0 0 543.36
