"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate"
"1",17,100,1,0,0.985049269856351,0.015374006323003,0.999999917888086,0.94122604381299,"ADAPTATION","rcp45"
"2",20,99,7,0,0.880842209432741,0.052230021404927,0.955197193798805,0.777174787573181,"ADAPTATION","rcp45"
"3",22,92,3,0,0.836499806767567,0.0659664789796562,0.928830217304768,0.715594955365306,"ADAPTATION","rcp45"
"4",23,89,10,0,0.691875571994287,0.114436639415335,0.833416799624796,0.528863165972188,"ADAPTATION","rcp45"
"5",25,79,4,0,0.636059024791449,0.135700081435531,0.793441457737223,0.462028238310578,"ADAPTATION","rcp45"
"6",26,75,15,0,0.439206481575183,0.231352283799401,0.637888554307948,0.250183384037629,"ADAPTATION","rcp45"
"7",27,60,2,0,0.414539087581729,0.246727959376671,0.616492767622073,0.226541611073825,"ADAPTATION","rcp45"
"8",28,58,2,0,0.390590194781728,0.26248095413417,0.595046811297675,0.204431934904289,"ADAPTATION","rcp45"
"9",32,56,6,0,0.322977352483458,0.312284363212193,0.530409286188186,0.146713977854957,"ADAPTATION","rcp45"
"10",33,50,6,0,0.261762816863028,0.366419410626078,0.465529345781899,0.100905047805604,"ADAPTATION","rcp45"
"11",34,44,1,0,0.252172875490327,0.375930168622415,0.454699290351933,0.094327268788491,"ADAPTATION","rcp45"
"12",35,43,2,0,0.233551338285388,0.395376329190161,0.433075070813026,0.0820449072116857,"ADAPTATION","rcp45"
"13",42,41,1,0,0.224517543918383,0.405322713060576,0.4222827838695,0.0763255672623553,"ADAPTATION","rcp45"
"14",44,40,1,0,0.215666432737251,0.415426268534489,0.411504287968049,0.0708775007772168,"ADAPTATION","rcp45"
"15",46,39,8,0,0.150535889202085,0.503926991700994,0.324743795631637,0.0358754799610764,"ADAPTATION","rcp45"
"16",47,31,1,0,0.14311900141934,0.516082988435071,0.313858016626213,0.0325031739204872,"ADAPTATION","rcp45"
"17",49,30,3,0,0.121924419253048,0.554148228359667,0.28130575141991,0.0236301673097515,"ADAPTATION","rcp45"
"18",50,27,0,27,0.121924419253048,0.554148228359667,0.28130575141991,0.0236301673097515,"ADAPTATION","rcp45"
"19",17,100,1,0,0.991509652691985,0.00877443067010594,1,0.966092443249774,"BAU","rcp45"
"20",20,99,7,0,0.930701012004308,0.0306771911972998,0.975795240904331,0.864779689310339,"BAU","rcp45"
"21",22,92,3,0,0.903883888375906,0.0388355026558237,0.961108250996731,0.824753969812414,"BAU","rcp45"
"22",23,89,10,0,0.811801050873539,0.0667323699699621,0.905244521266543,0.695490693224231,"BAU","rcp45"
"23",25,79,4,0,0.774055102068538,0.0786578501243338,0.880693905760656,0.645252778148359,"BAU","rcp45"
"24",26,75,15,0,0.627677520038125,0.130533680131801,0.778346417565617,0.463048930118298,"BAU","rcp45"
"25",27,60,2,0,0.607473244532699,0.138537076228892,0.763226891677884,0.439573042605629,"BAU","rcp45"
"26",28,58,2,0,0.587351872830572,0.146741117278113,0.7478910804018,0.416628504643095,"BAU","rcp45"
"27",32,56,6,0,0.527439018353021,0.173035646738801,0.700771363668853,0.350621701244195,"BAU","rcp45"
"28",33,50,6,0,0.468288192085979,0.202183424497073,0.651777605155911,0.289134228542558,"BAU","rcp45"
"29",34,44,1,0,0.458498532657015,0.207411105161175,0.643439996822279,0.279296804891351,"BAU","rcp45"
"30",35,43,2,0,0.439015434687154,0.218091084913825,0.626540938871412,0.260106605513965,"BAU","rcp45"
"31",42,41,1,0,0.429321230412009,0.223548954011913,0.617974883080243,0.25075285865601,"BAU","rcp45"
"32",44,40,1,0,0.419657462564505,0.229089608394158,0.609327235992923,0.241558943353002,"BAU","rcp45"
"33",46,39,8,0,0.342383010216471,0.281251060663451,0.538486059308586,0.170888933929693,"BAU","rcp45"
"34",47,31,1,0,0.332729839950702,0.288908119323031,0.529352066135325,0.162497046964415,"BAU","rcp45"
"35",49,30,3,0,0.303872711107666,0.313079745959211,0.501169063324134,0.138373674668256,"BAU","rcp45"
"36",50,27,0,27,0.303872711107666,0.313079745959211,0.501169063324134,0.138373674668256,"BAU","rcp45"
"37",17,100,1,0,0.988195119927716,0.0121675977778134,1,0.953239988097368,"BIOECONOMY","rcp45"
