"time","Management","Climate","Model","Windcase","surv","lower","upper"
15,"UNMANAGED","rcp45","EC-EARTH_RACMO22E-r1","w5",0.987909834677195,0.972764257086005,1
15,"UNMANAGED","rcp45","EC-EARTH_RACMO22E-r1","w6",0.997855864529956,0.994991631533448,1
15,"UNMANAGED","rcp85","EC-EARTH_RACMO22E-r1","w6",0.991740094105755,0.981261362496289,1
15,"UNMANAGED","rcp45","EC-EARTH_RACMO22E-r1","w7",0.998365282498786,0.996168997046863,1
15,"UNMANAGED","rcp85","EC-EARTH_RACMO22E-r1","w7",0.993697939986669,0.985653435113314,1
15,"UNMANAGED","rcp45","EC-EARTH_RACMO22E-r1","w8",0.996355845714059,0.991571500488034,1
15,"UNMANAGED","rcp85","EC-EARTH_RACMO22E-r1","w8",0.985991675565063,0.968633917420413,1
15,"UNMANAGED","rcp45","EC-EARTH_RACMO22E-r1","w9",0.997992049006193,0.99528182754121,1
15,"UNMANAGED","rcp85","EC-EARTH_RACMO22E-r1","w9",0.992263211583685,0.982210648666948,1
15,"UNMANAGED","rcp45","HadGEM2_CCLM","w5",0.995543165452094,0.989652983831387,1
15,"UNMANAGED","rcp85","HadGEM2_CCLM","w5",0.982887631750903,0.961155615157552,1
15,"UNMANAGED","rcp85","HadGEM2_CCLM","w6",0.99695884260739,0.992893221276159,1
15,"UNMANAGED","rcp45","HadGEM2_CCLM","w7",0.988299522068899,0.973207887019701,1
15,"UNMANAGED","rcp85","HadGEM2_CCLM","w7",0.997681133270254,0.994567282548856,1
15,"UNMANAGED","rcp45","HadGEM2_CCLM","w8",0.991069208546109,0.979487584539948,1
15,"UNMANAGED","rcp85","HadGEM2_CCLM","w8",0.994832901775968,0.988039503154983,1
15,"UNMANAGED","rcp45","HadGEM2_CCLM","w9",0.980180706187737,0.955230670598064,1
15,"UNMANAGED","rcp85","HadGEM2_CCLM","w9",0.999694680410898,0.99925167206124,1
15,"UNMANAGED","rcp45","MPI_CCLM","w5",0.998820707710665,0.997175969423984,1
15,"UNMANAGED","rcp85","MPI_CCLM","w5",0.999321608758224,0.998368358078257,1
15,"UNMANAGED","rcp45","MPI_CCLM","w6",0.997381123795726,0.99383374230655,1
15,"UNMANAGED","rcp45","MPI_CCLM","w7",0.999537372847787,0.998879000350365,1
15,"UNMANAGED","rcp85","MPI_CCLM","w7",0.998213512161532,0.995761156455708,1
15,"UNMANAGED","rcp45","MPI_CCLM","w8",0.999647357454973,0.999140941338507,1
15,"UNMANAGED","rcp85","MPI_CCLM","w8",0.998638015821382,0.996752214933138,1
15,"UNMANAGED","rcp45","MPI_CCLM","w9",0.999213259063244,0.998112757734165,1
15,"UNMANAGED","rcp85","MPI_CCLM","w9",0.996963319584675,0.992875267347726,1
15,"UNMANAGED","rcp45","NCC_HIRHAM5","w5",0.98722029978391,0.96884404271571,1
15,"UNMANAGED","rcp85","NCC_HIRHAM5","w5",0.971821026271578,0.932063283513516,1
15,"UNMANAGED","rcp45","NCC_HIRHAM5","w6",0.980698287790341,0.953082573286711,1
15,"UNMANAGED","rcp85","NCC_HIRHAM5","w6",0.985253837606943,0.964322032515989,1
15,"UNMANAGED","rcp85","NCC_HIRHAM5","w7",0.967392792258337,0.921805759208455,1
15,"UNMANAGED","rcp45","NCC_HIRHAM5","w8",0.995905408675108,0.990380536668867,1
15,"UNMANAGED","rcp85","NCC_HIRHAM5","w8",0.97324767047851,0.94062265037944,1
15,"UNMANAGED","rcp45","NCC_HIRHAM5","w9",0.990923271647013,0.978901250589262,1
15,"UNMANAGED","rcp85","NCC_HIRHAM5","w9",0.941517865448767,0.873734270840896,1
15,"UNMANAGED","refclim","refclim","w5",0.993801845040193,0.985466911829073,1
15,"UNMANAGED","refclim","refclim","w6",0.959741742113815,0.91181497395738,1
15,"UNMANAGED","refclim","refclim","w7",0.995272158996865,0.988914688785426,1
15,"UNMANAGED","refclim","refclim","w8",0.969165028734774,0.931824606215936,1
15,"UNMANAGED","refclim","refclim","w9",0.989480658448069,0.975503166740973,1
15,"ADAPTATION","rcp45","EC-EARTH_RACMO22E-r1","w6",0.932495902861938,0.855150137952352,1
15,"ADAPTATION","rcp85","EC-EARTH_RACMO22E-r1","w6",0.996797059092989,0.992512499093184,1
15,"ADAPTATION","rcp45","EC-EARTH_RACMO22E-r1","w7",0.97902099415344,0.952539006450615,1
